1,Which number is equal to dozen?,10,50,11,12,3
2,Which planet in our solar system has the most moons?,Mars,Saturn,Jupiter,Neptun,3
3,What is the world's largest ocean?,Atlantic Ocean,Pacific Ocean,Indian Ocean,Arctic Ocean,2
4,What is the largest mammal in the world?,Elephant,Blue Whale,Giraffe,Hippopotamus,1
5,Who wrote "Romeo and Juliet"?,William Shakespeare,Charles Dickens,Jane Austen,Mark Twain,0
6,What is the chemical formula for water?,H2O,CO2,NaCl,CH4,0
7,What is the largest desert in the world?,Sahara Desert,Gobi Desert,Antarctica,Arabian Desert,2
8,Which gas do plants primarily use for photosynthesis?,Oxygen,Carbon Dioxide,Nitrogen,Hydrogen,1
9,Who is known as the father of modern physics?,Isaac Newton,Albert Einstein,Galileo Galilei,Nikola Tesla,1
10,What is the capital of France?,Madrid,Rome,Berlin,Paris,3
11,Who wrote the play 'Hamlet'?,William Shakespeare,Charles Dickens,Jane Austen,Mark Twain,0
12,What is the chemical symbol for iron?,Fe,Ag,Au,Hg,0
13,Which is the smallest planet in our solar system?,Mars,Venus,Mercury,Earth,2
14,What is the fastest land animal?,Cheetah,Lion,Giraffe,Zebra,0
15,Who discovered penicillin?,Marie Curie,Alexander Fleming,Louis Pasteur,Robert Koch,1
16,What is the currency of Japan?,Yuan,Euro,Yen,Dollar,2
17,What is the chemical formula for table salt?,NaCl,KCl,CaCl2,MgCl2,0
18,What is the largest bird in the world?,Eagle,Ostrich,Albatross,Condor,1
19,Who painted the ceiling of the Sistine Chapel?,Leonardo da Vinci,Raphael,Donatello,Michelangelo,3
20,What is the boiling point of water in Celsius?,100C,0C,-100C,50C,0
21,Who is the author of 'The Great Gatsby'?,F. Scott Fitzgerald,Ernest Hemingway,Mark Twain,John Steinbeck,0
22,What is the chemical symbol for sodium?,So,Na,S,No,1
23,Which planet is known as the Red Planet?,Mars,Venus,Jupiter,Mercury,0
24,What is the largest organ in the human body?,Heart,Liver,Brain,Skin,3
25,Who developed the theory of relativity?,Isaac Newton,Albert Einstein,Galileo Galilei,Stephen Hawking,1
26,What is the tallest tree species on Earth?,Redwood,Sequoia,Douglas Fir,Eucalyptus,0
27,What is the chemical formula for methane?,CH4,CO2,H2O,NH3,0
28,What is the largest reptile in the world?,Komodo Dragon,Alligator,Crocodile,Anaconda,1
29,Who wrote 'To Kill a Mockingbird'?,Harper Lee,Mark Twain,Charles Dickens,F. Scott Fitzgerald,0
30,What is the capital of Canada?,Ottawa,Toronto,Vancouver,Montreal,0
31,Who was the first woman to win a Nobel Prize?,Marie Curie,Rosalind Franklin,Rita Levi-Montalcini,Dorothy Hodgkin,0
32,What is the chemical symbol for silver?,Si,Sr,Ag,Sv,2
33,Which is the second largest planet in our solar system?,Mars,Saturn,Jupiter,Neptune,2
34,What is the hardest natural substance on Earth?,Iron,Gold,Diamond,Platinum,2
35,Who wrote '1984'?,George Orwell,Aldous Huxley,Ray Bradbury,J.R.R. Tolkien,0
36,What is the largest flower in the world?,Sunflower,Rose,Titan Arum,Lily,2
37,What is the chemical formula for hydrogen peroxide?,H2O2,HCl,NaOH,NH3,0
38,What is the largest fish in the ocean?,Great White Shark,Blue Whale,Giant Squid,Whale Shark,3
39,Who painted 'Starry Night'?,Pablo Picasso,Vincent van Gogh,Claude Monet,Leonardo da Vinci,1
40,What is the speed of light in a vacuum?,299.792.458 m/s,300.000.000 m/s,150.000.000 m/s,100.000.000 m/s,0
41,Who wrote 'Pride and Prejudice'?,Emily Bronte,Jane Austen,Charlotte Bronte,Louisa May Alcott,1
42,What is the chemical symbol for potassium?,K,Ka,Po,Pt,0
43,Which is the coldest planet in our solar system?,Mars,Saturn,Jupiter,Uranus,3
44,What is the smallest bone in the human body?,Stapes,Femur,Tibia,Ulna,0
45,Who formulated the theory of evolution by natural selection?,Isaac Newton,Charles Darwin,Gregor Mendel,Albert Einstein,1
46,What is the largest animal on Earth?,Elephant,Blue Whale,Giraffe,Hippopotamus,1
47,What is the chemical formula for carbon dioxide?,CO2,CH4,O2,H2O,0
48,What is the fastest bird in the world?,Peregrine Falcon,Swift,Eagle,Ostrich,0
49,Who wrote 'The Catcher in the Rye'?,J.D. Salinger,F. Scott Fitzgerald,Ernest Hemingway,Mark Twain,0